author,school
郭宝龙,空军工程大学电讯工程学院
何少佳,桂林电子科技大学机电工程学院
刘子扬,桂林电子科技大学机电工程学院
吴俊君,广东食品药品职业学院
胡国生,广东食品药品职业学院
朱克武,广东食品药品职业学院
陈光明,广东工业大学计算机学院
曾碧,广东工业大学计算机学院
吕凌,广东工业大学计算机学院
黄永龙,厦门大学信息科学与技术学院
仲训昱,厦门大学信息科学与技术学院
陈树斌,广东工业大学自动化学院
陈玮,广东工业大学自动化学院
李剑平,广东工业大学自动化学院
黄麟,无锡职业技术学院
奚茂龙,无锡职业技术学院
孙俊,无锡职业技术学院
洪鹰,天津大学机械工程学院
王乐,天津大学机械工程学院
姜香菊,兰州交通大学自动化与电气工程学院
刘二林,兰州交通大学机电工程学院
曹洁,兰州理工大学计算机与通信学院
朱宁宁,兰州理工大学计算机与通信学院
李树荣,中国石油大学(华东)信息与控制工程学院
马慧超,中国石油大学(华东)信息与控制工程学院
矫德余,中国石油大学(华东)信息与控制工程学院
董本志,东北林业大学信息与计算机工程学院
任惠娟,东北林业大学信息与计算机工程学院
任洪娥,东北林业大学信息与计算机工程学院
孙涛,天津工业大学电气工程与自动化学院
师五喜,天津工业大学电气工程与自动化学院
杜中栋,山东大学控制科学与工程学院
刘志勇,山东大学控制科学与工程学院
曾现峰,中国矿业大学 信息与电气工程学院
张扬名,湘潭大学信息工程学院
刘国荣,湖南工程学院
卢恩超,西北大学信息科学与技术学院
陈友辉,湖南大学电气与信息工程学院
