name,label,author_id,type
任志斌,江西理工大学机电工程学院,337,person
阮毅,上海大学机电工程与自动化学院 江西赣州341000,338,person
宗晓萍,河北大学电子信息工程学院,339,person
石圣羽,河北大学电子信息工程学院,340,person
田华,河北大学电子信息工程学院,341,person
蔡广宇,华中科技大学机械学院,342,person
崔士林,南阳理工学院,343,person
吴昌林,华中科技大学机械学院 武汉430074 南阳理工学院,344,person
刘金科,燕山大学信息科学与工程学院,345,person
郭希娟,燕山大学信息科学与工程学院,346,person
刘爽,燕山大学信息科学与工程学院,347,person
史国振,北京邮电大学计算机科学与技术学院,348,person
孙汉旭,北京邮电大学自动化学院,349,person
贾庆轩,北京邮电大学自动化学院 北京100876北京电子科技学院电子信息工程系,350,person
张延恒,北京100070,351,person
黎萍,广东工业大学自动化学院,352,person
张立勋,哈尔滨工程大学机电工程学院,353,person
卜迟武,哈尔滨工程大学机电工程学院 哈尔滨150001,354,person
杨放琼,中南大学机电工程学院,355,person
谭青,中南大学机电工程学院,356,person
彭高明,中南大学机电工程学院,357,person
孔令富,燕山大学信息科学与工程学院 河北秦皇岛066004,358,person
邵桂芳,厦门大学模式识别与智能系统研究所,359,person
李祖枢,重庆工学院人工智能系统研究所,360,person
于芳,重庆工学院人工智能系统研究所 福建厦门361005重庆工学院人工智能系统研究所,361,person
杨唐文,北京交通大学计算机与信息技术学院,362,person
韩建达,中国科学院沈阳自动化研究所机器人学国家重点实验室,363,person
KUHNERT K D,德国锡根大学电气与计算机科学系,364,person
刘俊承,华北电力大学自动化系,365,person
王淼鑫,华北电力大学自动化系,366,person
张捍东,安徽工业大学电气信息学院,367,person
吴玉秀,安徽工业大学电气信息学院,368,person
岑豫皖,安徽工业大学电气信息学院,369,person
谭冠政,湖南师范大学物理与信息科学学院,370,person
皮剑,湖南师范大学物理与信息科学学院,371,person
李荣华,大连理工大学精密与特种加工教育部重点实验室,372,person
褚金奎,大连理工大学精密与特种加工教育部重点实验室,373,person
